IDENTIFIANT,DATE_HEURE_OUVERTURE,CODE_EVENEMENT,DATE_SINISTRE,COMMUNE_SINISTRE,CODE_POSTAL_SINISTRE,DEPARTEMENT_SINISTRE,PAYS_SINISTRE,DISTANCE_DOMICILE_SINSITRE,AGE,MARQUE,CODE_POSTAL_ASSURE,DEPARTEMENT_ASSURE,PAYS_ASSURE,VEH_MARQUE,VEH_MODELE,VEH_DATE_MISE_CIRCULATION,VEH_CODE_CARBURANT,VEH_GENRE,VEH_TYPE_BOITE,VEJH_TYPE_TRANSMMISSION,VEH_KILOMETRAGE,VEH_HAUTEUR,VEH_LONGUEUR,VEH_LARGEUR,VEH_EMPATTEMENT,VEH_CATEGORIE,VEH_POID_A_VIDE,VEH_CATEGORIE_PTAC,DATE_HEURE_PRISE_EN_CHARGE,NATURE_PANNE,CATEGORIE_PANNE,DATE_HEURE_SINISTRE,TEMPERATURE,HUMIDITE,VITESSE_VENT,PRECIPITATIONS,PRESSION,ETAT_SOL,HAUTEUR_COUCHE_NEIGE
f99JFmF0voDI,2023-10-10 12:16:00,PA,2023-10-10,CARQUEFOU,44470.0,44.0,33,1,,GMF,44470.0,44.0,33.0,CIT,SAXO,05/06/2003,E,VL,,AV,,,,,,1.0,,1,2023-10-11 08:29:00,167,MOT,2023-10-10 12:01:00,19.40000000000004,72.0,1.4,0.0,101900.0,0.0,0.0
Lvtz3mPSoQhd,2022-12-15 14:27:00,PA,2022-12-15,BREST,29200.0,29.0,33,12,,GMF,29470,29.0,33.0,PEU,208 II,22/12/2021,E,VL,MAN,AV,3409.0,1.43,4.06,1.75,2.54,1.0,980.0,1,2022-12-15 15:25:00,223,PNEU,2022-12-15 15:10:00,5.400000000000034,75.0,8.3,0.0,99480.0,0.0,0.0
7VcoHC8ZKAvc,2022-10-18 08:57:00,PA,2022-10-18,LAMBERSART,59130.0,59.0,33,1,81.0,MAAF,59130.0,59.0,33.0,CIT,C3,16/06/2009,D,VL,MAN,AV,123354.0,1.53,3.85,1.67,2.46,1.0,1022.0,1,2022-10-18 09:30:00,112,DEM,2022-10-18 09:15:00,17.0,77.0,1.1,0.0,102240.0,0.0,0.0
I8ohS01PVRxq,2022-11-02 23:23:00,PA,2022-11-02,COURNON-D'AUVERGNE,63800.0,63.0,33,23,50.0,MAAF,63200.0,63.0,33.0,XXX,A3,18/07/2006,D,VL,MAN,AV,314352.0,,,,,,,1,2022-11-02 23:52:00,111,DEM,2022-11-02 23:37:00,9.100000000000025,77.0,1.9,0.0,98000.0,0.0,0.0
TfnlHTD9ls9Z,2022-12-06 16:56:00,PA,2022-12-06,STE-CROIX-EN-PLAINE,68127.0,68.0,33,1,46.0,MAAF,68127.0,68.0,33.0,REN,KADJAR,30/11/2015,E,VL,MAN,AV,,1.6,4.45,1.84,2.65,,1320.0,2,2022-12-06 18:05:00,112,DEM,2022-12-06 17:50:00,3.8000000000000114,91.0,1.2,0.0,98560.0,0.0,0.0
N2dikPEtFez8,2022-09-28 10:51:00,PA,2022-09-28,ROUBAIX,59100.0,59.0,33,4,,GMF,59150.0,59.0,33.0,PEU,3008,03/03/2020,D,VL,AUT,AV,,1.62,4.45,1.84,2.68,1.0,1430.0,2,2022-09-28 10:53:00,112,DEM,2022-09-28 10:38:00,12.5,75.0,5.4,0.0,99410.0,0.0,0.0
keQeOghHxnMr,2023-01-25 08:52:00,PA,2023-01-25,PONTAULT-COMBAULT,77340.0,77.0,33,18,,GMF,91800,91.0,33.0,CIT,C3 II,15/06/2010,D,VL,MAN,AV,141596.0,1.52,3.94,1.73,2.45,,1065.0,1,2023-02-01 07:50:00,167,MOT,2023-01-25 08:37:00,1.7000000000000457,93.0,4.0,-0.1,102360.0,,0.0
whr4y2iOyKhT,2023-02-22 16:22:00,PA,2023-02-22,LAUJUZAN,32110.0,32.0,33,135,,GMF,33650.0,33.0,33.0,REN,SCENIC III,09/07/2012,D,VL,MAN,AV,,1.68,4.34,1.85,2.7,,1385.0,2,2023-02-22 17:10:00,112,DEM,2023-02-22 16:55:00,13.800000000000011,85.0,3.4,-0.1,101130.0,,0.0
YFJ3e4edQxga,2021-07-03 10:53:00,PA,2021-07-03,PONT-D'AIN,1160.0,1.0,33,69,68.0,MAAF,69780,69.0,33.0,REN,KOLEOS,21/07/2010,D,VL,,AV,,,,,,,,1,2021-07-03 11:46:00,221,PNEU,2021-07-03 11:31:00,21.0,66.0,1.0,-0.1,98820.0,0.0,0.0
aeCqYemQVx9l,2023-12-10 15:12:00,PA,2023-12-10,VILLENAVE-D'ORNON,33140.0,33.0,33,1,,GMF,33140.0,33.0,33.0,REN,SCENIC III,01/01/2014,D,UT,MAN,AV,175043.0,1.68,4.57,1.85,2.77,1.0,1525.0,2,2023-12-13 07:52:00,165,MOT,2023-12-10 14:57:00,12.800000000000011,98.0,4.2,-0.1,101330.0,2.0,0.0
q684BBfEXD5R,2022-05-09 10:16:00,PA,2022-05-09,LA ROCHELLE,17000.0,17.0,33,63,34.0,MAAF,79000.0,79.0,33.0,CIT,C3,13/12/2004,E,VL,MAN,AV,184385.0,1.53,3.85,1.67,2.46,1.0,1004.0,1,2022-05-09 13:54:00,138,REFR,2022-05-09 13:39:00,19.100000000000023,72.0,3.0,0.0,102110.0,,0.0
ct2HdvKSYICL,2023-10-17 05:50:00,PA,2023-10-17,SANDILLON,45640.0,45.0,33,1,,GMF,45640,45.0,33.0,REN,CLIO III,23/01/2008,D,VL,MAN,AV,162061.0,1.5,3.99,1.72,2.58,,1175.0,1,2023-10-17 06:16:00,111,DEM,2023-10-17 06:01:00,12.5,57.0,2.4,0.0,99360.0,,0.0
Vi0DeAOvCAR8,2021-12-03 18:42:00,PA,2021-12-03,CHANTEPIE,35135.0,35.0,33,6,,GMF,35000.0,35.0,33.0,MER,CLASSE B,22/12/2009,D,VL,MAN,AV,,1.58,4.26,1.77,2.78,,1360.0,1,2021-12-03 19:28:00,221,PNEU,2021-12-03 19:13:00,6.7000000000000455,98.0,6.1,-0.1,100750.0,2.0,0.0
HOYWLI96po4P,2022-03-17 09:34:00,PA,2022-03-17,DIGNE-LES-BAINS,4000.0,4.0,33,1,,MMA,4000.0,4.0,33.0,REN,MASTER,29/09/2004,D,UT,MAN,AV,,,5.37,1.99,3.58,,1801.0,2,2022-03-17 11:01:00,112,DEM,2022-03-17 10:46:00,6.0,76.0,1.4,0.0,92000.0,,0.0
UjsTNFraQqtV,2023-07-25 10:36:00,PA,2023-07-25,BRESSUIRE,79300.0,79.0,33,1,48.0,MAAF,79300.0,79.0,33.0,REN,LAGUNA III,25/03/2010,D,VL,MAN,AV,207003.0,1.45,4.7,1.81,2.76,1.0,1386.0,2,2023-07-25 11:23:00,119,DEM,2023-07-25 11:08:00,21.40000000000004,45.0,6.2,0.0,100010.0,0.0,0.0
DlcIYFoR0HGV,2022-04-23 17:04:00,PA,2022-04-23,VILLENEUVE-LOUBET,6270.0,6.0,33,6,65.0,MAAF,6600.0,6.0,33.0,NIS,MICRA,15/06/2015,E,VL,,,,1.52,3.78,1.67,2.45,1.0,910.0,1,2022-04-23 18:00:00,112,DEM,2022-04-23 17:45:00,13.800000000000011,82.0,7.3,1.2,99950.0,2.0,0.0
Mi8ffWjbPSmR,2023-11-14 13:55:00,PA,2023-11-14,CABRIES,13480.0,13.0,33,15,,GMF,13090.0,13.0,33.0,CIT,C3 II,15/02/2011,D,VL,MAN,AV,255297.0,1.52,3.94,1.73,2.45,,1070.0,1,2023-11-14 14:24:00,113,DEM,2023-11-14 14:09:00,16.100000000000023,87.0,1.0,0.0,101520.0,1.0,0.0
YKPzBBewBEfB,2023-07-16 18:58:00,PA,2023-07-16,LISLE-SUR-TARN,81310.0,81.0,33,1,,GMF,81310.0,81.0,33.0,REN,KANGOO,17/05/2000,E,VL,MAN,AV,266000.0,,,,,1.0,1200.0,1,2023-07-17 12:37:00,165,MOT,2023-07-16 18:43:00,27.200000000000045,41.0,5.1,0.0,99980.0,0.0,0.0
ed6FIpgDK8ON,2023-06-22 15:53:00,PA,2023-06-22,LE MANS,72000.0,72.0,33,1,,GMF,72000.0,72.0,33.0,CROSSC,FLEX,28/07/2022,D,CC,,AV,14044.0,,,,,,,2,2023-06-22 15:55:00,517,HOMO,2023-06-22 15:40:00,18.700000000000045,87.0,3.2,0.0,100060.0,0.0,0.0
oVuSIe32Ng7n,2023-02-14 16:43:00,PA,2023-02-14,BRUMATH,67170.0,67.0,33,21,,MAAF,67000.0,67.0,33.0,REN,KANGOO,22/06/2010,D,UT,MAN,AV,,,,,,1.0,,2,2023-02-14 18:58:00,122,ALUM,2023-02-14 18:43:00,1.400000000000034,100.0,0.7,0.0,101720.0,1.0,0.0
Zloh6MreCmTc,2023-08-11 14:55:00,PA,2023-08-11,NANTES,44000.0,44.0,33,102,77.0,MAAF,85540.0,85.0,33.0,NIS,ALMERA,04/11/1999,D,VL,,AV,,,,,,1.0,,1,2023-08-16 10:23:00,244,BOIT,2023-08-11 14:40:00,20.600000000000023,94.0,3.5,2.5,101870.0,2.0,0.0
3gcfPPw3Bzv0,2024-01-28 16:57:00,PA,2024-01-28,MONTECH,82700.0,82.0,33,24,,GMF,82350.0,82.0,33.0,REN,TRAFIC,06/12/2007,D,UT,,,,,5.18,1.9,3.5,1.0,1874.0,2,2024-01-30 12:22:00,124,ALUM,2024-01-28 16:42:00,13.200000000000044,73.0,10.3,0.0,100890.0,0.0,0.0
JctawCAvPIGO,2022-02-18 18:00:00,PA,2022-02-18,MONTEVRAIN,77144.0,77.0,33,64,57.0,MAAF,95430.0,95.0,33.0,CIT,C4 PICASSO,16/09/2010,D,UT,AUT,AV,110120.0,1.61,4.47,1.83,2.73,1.0,1499.0,2,2022-02-18 18:26:00,111,DEM,2022-02-18 18:11:00,10.800000000000011,64.0,10.1,0.0,99660.0,1.0,0.0
EBRuSbyjc6Z2,2023-11-02 15:49:00,PA,2023-11-02,BRECH,56400.0,56.0,33,1,52.0,MAAF,56400.0,56.0,33.0,REN,CLIO III ESTATE,28/06/2010,D,VL,MAN,AV,228283.0,1.5,4.2,1.72,2.58,1.0,1205.0,1,2023-11-02 16:52:00,111,DEM,2023-11-02 16:37:00,13.400000000000034,67.0,15.2,0.0,98020.0,,0.0
ygQ5lnkDCGqO,2022-09-03 09:12:00,PA,2022-09-03,CAZAUX,33260.0,33.0,33,858,,GMF,6000.0,6.0,33.0,FIA,PILOTE,01/06/2004,D,UT,,AV,127179.0,2.98,7.0,2.3,,1.0,,2,2022-09-03 10:12:00,111,DEM,2022-09-03 09:57:00,22.600000000000023,67.0,2.5,0.0,100860.0,0.0,0.0
fuDmU6wq5iDZ,2023-07-11 09:59:00,PA,2023-07-11,SCHIRRHEIN,67240.0,67.0,33,0,,GMF,67240.0,67.0,33.0,REN,CLIO III,12/11/2007,E,VL,MAN,AV,,1.5,3.99,1.72,2.58,,1100.0,1,2023-07-11 11:55:00,111,DEM,2023-07-11 11:40:00,29.0,43.0,2.7,0.0,99800.0,0.0,0.0
CIRInuw2to7o,2021-07-15 22:53:00,PA,2021-07-15,VANNES,56000.0,56.0,33,50,,MMA,56120.0,56.0,33.0,CIT,C5 II,01/04/2013,D,UT,MAN,AV,85408.0,,,,,1.0,,2,2021-07-16 14:41:00,167,MOT,2021-07-15 22:38:00,16.30000000000001,89.0,6.1,0.0,101890.0,,0.0
1bBkTgBUErfN,2023-01-23 17:37:00,PA,2023-01-23,CHAILLAC,36310.0,36.0,33,72,,MMA,36400.0,36.0,33.0,REN,MASTER III,01/07/2021,D,UT,SEQ,AV,32254.0,2.73,5.55,2.07,3.68,1.0,1968.0,2,2023-01-23 19:20:00,112,DEM,2023-01-23 19:05:00,0.0,82.0,7.0,0.0,97880.0,,0.0
CRgk5ZQyFcFr,2023-08-16 10:36:00,PA,2023-08-16,AUNEAU-BLEURY-SAINT-SYMPHO,28700.0,28.0,33,24,,MMA,28000.0,28.0,33.0,CIT,C-ZERO,01/07/2012,Z,VL,AUT,AR,67000.0,1.61,3.48,1.48,2.55,1.0,1120.0,1,2023-08-22 15:36:00,111,DEM,2023-08-16 10:21:00,23.40000000000004,64.0,3.4,0.0,100720.0,0.0,0.0
Qff2pLbcKyxj,2023-11-23 13:13:00,PA,2023-11-23,MOY-DE-L'AISNE,2610.0,2.0,33,580,51.0,MAAF,44600.0,44.0,33.0,CIT,C5 II TOURER,03/02/2014,D,VL,MAN,AV,,1.47,4.83,1.86,2.82,,1655.0,2,2023-11-23 14:15:00,223,PNEU,2023-11-23 14:00:00,9.600000000000025,90.0,4.3,0.0,101610.0,0.0,0.0
n912op2MMGjh,2021-10-15 08:27:00,PA,2021-10-15,ROANNE,42300.0,42.0,33,0,33.0,MAAF,42300.0,42.0,33.0,REN,SCENIC,17/05/2006,E,VL,,,,,,,,,,1,2021-10-15 08:53:00,111,DEM,2021-10-15 08:38:00,3.8000000000000114,82.0,0.9,0.0,98040.0,5.0,0.0
inDYLjwfPe43,2023-01-26 09:26:00,PA,2023-01-26,NAINVILLE-LES-ROCHES,91750.0,91.0,33,1,,GMF,91750.0,91.0,33.0,FOR,KUGA,28/05/2014,D,UT,MAN,AV,,1.68,4.52,1.84,2.69,,1530.0,2,2023-01-26 10:06:00,111,DEM,2023-01-26 09:51:00,-0.3999999999999772,98.0,1.4,0.0,101330.0,0.0,0.0
MwsUv55zK4fe,2022-12-12 12:52:00,PA,2022-12-12,LA COLLE-SUR-LOUP,6480.0,6.0,33,1,48.0,MAAF,6480.0,6.0,33.0,PEU,407,26/11/2004,D,VL,,,,1.45,4.68,1.81,2.73,1.0,1493.0,1,2022-12-23 14:32:00,161,MOT,2022-12-12 12:37:00,11.0,34.0,5.1,0.0,100420.0,0.0,0.0
fiO0kVxw1erD,2022-04-15 19:59:00,PA,2022-04-15,AGDE,34300.0,34.0,33,25,42.0,MAAF,34350.0,34.0,33.0,VWG,Polo,28/01/2010,D,VL,MAN,AV,159000.0,1.44,3.97,1.68,2.46,1.0,1082.0,1,2022-04-15 20:22:00,111,DEM,2022-04-15 20:07:00,18.600000000000023,59.0,3.6,0.0,101770.0,,0.0
